bybit_symbol,binance_symbol,name,multiplier,tickSize,minOrderQty,qtyStep
AEVOUSDT,AEVOUSDT,AEVO,1,1e-05,0.1,0.1
AGLDUSDT,AGLDUSDT,AGLD,1,0.0001,0.1,0.1
AINUSDT,AINUSDT,AIN,1,1e-05,10.0,10.0
AIOUSDT,AIOUSDT,AIO,1,1e-05,10.0,10.0
AIXBTUSDT,AIXBTUSDT,AIXBT,1,1e-05,10.0,10.0
AKEUSDT,AKEUSDT,AKE,1,1e-07,100.0,100.0
AKTUSDT,AKTUSDT,AKT,1,0.0001,0.1,0.1
ALCHUSDT,ALCHUSDT,ALCH,1,1e-05,1.0,1.0
ALGOUSDT,ALGOUSDT,ALGO,1,1e-05,0.1,0.1
ALICEUSDT,ALICEUSDT,ALICE,1,0.0001,0.1,0.1
ALLOUSDT,ALLOUSDT,ALLO,1,1e-05,1.0,1.0
ALPINEUSDT,ALPINEUSDT,ALPINE,1,0.0001,0.1,0.1
ALTUSDT,ALTUSDT,ALT,1,1e-06,1.0,1.0
ANIMEUSDT,ANIMEUSDT,ANIME,1,1e-06,1.0,1.0
ANKRUSDT,ANKRUSDT,ANKR,1,1e-06,1.0,1.0
APEUSDT,APEUSDT,APE,1,0.0001,0.1,0.1
API3USDT,API3USDT,API3,1,0.0001,0.1,0.1
APRUSDT,APRUSDT,APR,1,1e-05,1.0,1.0
APTUSDT,APTUSDT,APT,1,0.001,0.01,0.01
ARBUSDT,ARBUSDT,ARB,1,0.0001,0.1,0.1
ARCUSDT,ARCUSDT,ARC,1,1e-05,1.0,1.0
ARIAUSDT,ARIAUSDT,ARIA,1,1e-05,1.0,1.0
ARKMUSDT,ARKMUSDT,ARKM,1,0.0001,1.0,1.0
ARKUSDT,ARKUSDT,ARK,1,0.0001,1.0,1.0
ARPAUSDT,ARPAUSDT,ARPA,1,1e-06,10.0,10.0
ARUSDT,ARUSDT,AR,1,0.001,0.1,0.1
ASRUSDT,ASRUSDT,ASR,1,0.0001,0.1,0.1
ASTERUSDT,ASTERUSDT,ASTER,1,0.0001,1.0,1.0
ASTRUSDT,ASTRUSDT,ASTR,1,1e-06,1.0,1.0
ATHUSDT,ATHUSDT,ATH,1,1e-06,10.0,10.0
ATOMUSDT,ATOMUSDT,ATOM,1,0.001,0.1,0.1
ATUSDT,ATUSDT,AT,1,1e-05,1.0,1.0
AUCTIONUSDT,AUCTIONUSDT,AUCTION,1,0.001,0.1,0.1
AUSDT,AUSDT,A,1,1e-05,1.0,1.0
AVAAIUSDT,AVAAIUSDT,AVAAI,1,1e-06,1.0,1.0
AVAUSDT,AVAUSDT,AVA,1,0.0001,0.1,0.1
AVAXUSDT,AVAXUSDT,AVAX,1,0.001,0.1,0.1
AVNTUSDT,AVNTUSDT,AVNT,1,0.0001,1.0,1.0
AWEUSDT,AWEUSDT,AWE,1,1e-05,10.0,10.0
AXLUSDT,AXLUSDT,AXL,1,1e-05,1.0,1.0
AXSUSDT,AXSUSDT,AXS,1,0.0001,0.1,0.1
AZTECUSDT,AZTECUSDT,AZTEC,1,1e-06,10,10
B2USDT,B2USDT,B2,1,0.0001,1.0,1.0
B3USDT,B3USDT,B3,1,1e-07,100.0,100.0
BABYUSDT,BABYUSDT,BABY,1,1e-05,10.0,10.0
BANANAS31USDT,BANANAS31USDT,BANANAS31,1,1e-06,100.0,100.0
BANANAUSDT,BANANAUSDT,BANANA,1,0.001,0.01,0.01
BANDUSDT,BANDUSDT,BAND,1,0.0001,0.1,0.1
BANKUSDT,BANKUSDT,BANK,1,1e-05,10.0,10.0
BANUSDT,BANUSDT,BAN,1,1e-05,1.0,1.0
BARDUSDT,BARDUSDT,BARD,1,0.0001,0.1,0.1
BATUSDT,BATUSDT,BAT,1,0.0001,0.1,0.1
BBUSDT,BBUSDT,BB,1,1e-05,1.0,1.0
BCHUSDT,BCHUSDT,BCH,1,0.1,0.01,0.01
BEAMUSDT, BEAMXUSDT, BEAM,1,1e-06,100.0,100.0
BEATUSDT,BEATUSDT,BEAT,1,0.0001,1.0,1.0
BELUSDT,BELUSDT,BEL,1,1e-05,1.0,1.0
BERAUSDT,BERAUSDT,BERA,1,0.0001,1.0,1.0
BICOUSDT,BICOUSDT,BICO,1,1e-05,0.1,0.1
BIGTIMEUSDT,BIGTIMEUSDT,BIGTIME,1,1e-05,1.0,1.0
BIOUSDT,BIOUSDT,BIO,1,1e-05,1.0,1.0
BLESSUSDT,BLESSUSDT,BLESS,1,1e-06,10.0,10.0
BLUAIUSDT,BLUAIUSDT,BLUAI,1,1e-06,10.0,10.0
BLURUSDT,BLURUSDT,BLUR,1,1e-05,1.0,1.0
BMTUSDT,BMTUSDT,BMT,1,1e-05,1.0,1.0
BNBUSDT,BNBUSDT,BNB,1,0.1,0.01,0.01
BNTUSDT,BNTUSDT,BNT,1,0.0001,1.0,1.0
BOMEUSDT,BOMEUSDT,BOME,1,1e-07,100.0,100.0
BRETTUSDT,BRETTUSDT,BRETT,1,1e-06,10.0,10.0
BROCCOLIUSDT, BROCCOLI714USDT, BROCCOLI,1,1e-06,1.0,1.0
BRUSDT,BRUSDT,BR,1,1e-05,1.0,1.0
BSVUSDT,BSVUSDT,BSV,1,0.01,0.01,0.01
BTCUSDT,BTCUSDT,BTC,1,0.1,0.001,0.001
BTRUSDT,BTRUSDT,BTR,1,1e-05,1.0,1.0
BUSDT,BUSDT,B,1,1e-05,1.0,1.0
C98USDT,C98USDT,C98,1,1e-05,0.1,0.1
CAKEUSDT,CAKEUSDT,CAKE,1,0.001,0.1,0.1
CARVUSDT,CARVUSDT,CARV,1,1e-05,1.0,1.0
CATIUSDT,CATIUSDT,CATI,1,1e-05,1.0,1.0
CCUSDT,CCUSDT,CC,1,1e-05,1.0,1.0
CELOUSDT,CELOUSDT,CELO,1,1e-05,0.1,0.1
CETUSUSDT,CETUSUSDT,CETUS,1,1e-05,1.0,1.0
CFXUSDT,CFXUSDT,CFX,1,1e-05,1.0,1.0
CGPTUSDT,CGPTUSDT,CGPT,1,1e-05,1.0,1.0
CHILLGUYUSDT,CHILLGUYUSDT,CHILLGUY,1,1e-06,1.0,1.0
CHRUSDT,CHRUSDT,CHR,1,1e-05,0.1,0.1
CHZUSDT,CHZUSDT,CHZ,1,1e-05,1.0,1.0
CKBUSDT,CKBUSDT,CKB,1,1e-06,10.0,10.0
CLANKERUSDT,CLANKERUSDT,CLANKER,1,0.01,0.01,0.01
CLOUSDT,CLOUSDT,CLO,1,0.0001,1.0,1.0
COAIUSDT,COAIUSDT,COAI,1,0.0001,1.0,1.0
COMMONUSDT,COMMONUSDT,COMMON,1,1e-06,1.0,1.0
COMPUSDT,COMPUSDT,COMP,1,0.01,0.01,0.01
COOKIEUSDT,COOKIEUSDT,COOKIE,1,1e-05,1.0,1.0
COTIUSDT,COTIUSDT,COTI,1,1e-05,1.0,1.0
COWUSDT,COWUSDT,COW,1,0.0001,1.0,1.0
CROSSUSDT,CROSSUSDT,CROSS,1,1e-05,1.0,1.0
CRVUSDT,CRVUSDT,CRV,1,0.0001,0.1,0.1
CTKUSDT,CTKUSDT,CTK,1,0.0001,0.1,0.1
CTSIUSDT,CTSIUSDT,CTSI,1,1e-05,1.0,1.0
CUDISUSDT,CUDISUSDT,CUDIS,1,1e-05,10.0,10.0
CUSDT,CUSDT,C,1,1e-05,1.0,1.0
CVCUSDT,CVCUSDT,CVC,1,1e-05,1.0,1.0
CVXUSDT,CVXUSDT,CVX,1,0.001,0.01,0.01
CYBERUSDT,CYBERUSDT,CYBER,1,0.0001,0.1,0.1
DAMUSDT,DAMUSDT,DAM,1,1e-05,1.0,1.0
DASHUSDT,DASHUSDT,DASH,1,0.01,0.01,0.01
DEEPUSDT,DEEPUSDT,DEEP,1,1e-05,10.0,10.0
DEGENUSDT,DEGENUSDT,DEGEN,1,1e-07,10.0,10.0
DENTUSDT,DENTUSDT,DENT,1,1e-07,100.0,100.0
DEXEUSDT,DEXEUSDT,DEXE,1,0.001,0.1,0.1
DIAUSDT,DIAUSDT,DIA,1,0.0001,1.0,1.0
DODOUSDT, DODOXUSDT, DODO,1,1e-05,1.0,1.0
DOGEUSDT,DOGEUSDT,DOGE,1,1e-05,1.0,1.0
DOLOUSDT,DOLOUSDT,DOLO,1,1e-05,1.0,1.0
DOODUSDT,DOODUSDT,DOOD,1,1e-06,10.0,10.0
DOTUSDT,DOTUSDT,DOT,1,0.0001,0.1,0.1
DRIFTUSDT,DRIFTUSDT,DRIFT,1,0.0001,1.0,1.0
DUSKUSDT,DUSKUSDT,DUSK,1,1e-05,1.0,1.0
DYDXUSDT,DYDXUSDT,DYDX,1,0.0001,0.1,0.1
DYMUSDT,DYMUSDT,DYM,1,1e-05,0.1,0.1
EDENUSDT,EDENUSDT,EDEN,1,1e-05,1.0,1.0
EDUUSDT,EDUUSDT,EDU,1,1e-05,0.1,0.1
EGLDUSDT,EGLDUSDT,EGLD,1,0.001,0.01,0.01
EIGENUSDT,EIGENUSDT,EIGEN,1,0.0001,1.0,1.0
ENAUSDT,ENAUSDT,ENA,1,0.0001,1.0,1.0
ENJUSDT,ENJUSDT,ENJ,1,1e-05,0.1,0.1
ENSOUSDT,ENSOUSDT,ENSO,1,0.0001,0.1,0.1
ENSUSDT,ENSUSDT,ENS,1,0.001,0.1,0.1
EPICUSDT,EPICUSDT,EPIC,1,0.0001,1.0,1.0
EPTUSDT,EPTUSDT,EPT,1,1e-06,10.0,10.0
ERAUSDT,ERAUSDT,ERA,1,0.0001,1.0,1.0
ESPORTSUSDT,ESPORTSUSDT,ESPORTS,1,1e-05,1.0,1.0
ETCUSDT,ETCUSDT,ETC,1,0.001,0.1,0.1
ETHFIUSDT,ETHFIUSDT,ETHFI,1,0.0001,0.1,0.1
ETHUSDT,ETHUSDT,ETH,1,0.01,0.01,0.01
EULUSDT,EULUSDT,EUL,1,0.001,0.1,0.1
EVAAUSDT,EVAAUSDT,EVAA,1,0.0001,0.1,0.1
FARTCOINUSDT,FARTCOINUSDT,FARTCOIN,1,0.0001,1.0,1.0
FFUSDT,FFUSDT,FF,1,1e-05,1.0,1.0
FIDAUSDT,FIDAUSDT,FIDA,1,1e-05,1.0,1.0
FILUSDT,FILUSDT,FIL,1,0.0001,0.1,0.1
FIOUSDT,FIOUSDT,FIO,1,1e-06,10.0,10.0
FLOCKUSDT,FLOCKUSDT,FLOCK,1,1e-05,1.0,1.0
FLOWUSDT,FLOWUSDT,FLOW,1,1e-05,0.1,0.1
FLUIDUSDT,FLUIDUSDT,FLUID,1,0.001,0.1,0.1
FLUXUSDT,FLUXUSDT,FLUX,1,1e-05,1.0,1.0
FORMUSDT,FORMUSDT,FORM,1,0.0001,1.0,1.0
FUSDT,FUSDT,F,1,1e-06,1.0,1.0
FXSUSDT,FXSUSDT,FXS,1,0.0001,0.01,0.01
GALAUSDT,GALAUSDT,GALA,1,1e-06,1.0,1.0
GASUSDT,GASUSDT,GAS,1,0.001,0.1,0.1
GIGGLEUSDT,GIGGLEUSDT,GIGGLE,1,0.01,0.001,0.001
GLMUSDT,GLMUSDT,GLM,1,1e-05,1.0,1.0
GMTUSDT,GMTUSDT,GMT,1,1e-05,1.0,1.0
GMXUSDT,GMXUSDT,GMX,1,0.001,0.01,0.01
GOATUSDT,GOATUSDT,GOAT,1,1e-05,1.0,1.0
GPSUSDT,GPSUSDT,GPS,1,1e-06,1.0,1.0
GRASSUSDT,GRASSUSDT,GRASS,1,0.0001,1.0,1.0
GRIFFAINUSDT,GRIFFAINUSDT,GRIFFAIN,1,1e-05,1.0,1.0
GRTUSDT,GRTUSDT,GRT,1,1e-05,0.1,0.1
GUNUSDT,GUNUSDT,GUN,1,1e-06,1.0,1.0
HAEDALUSDT,HAEDALUSDT,HAEDAL,1,1e-05,10.0,10.0
HANAUSDT,HANAUSDT,HANA,1,1e-06,10.0,10.0
HBARUSDT,HBARUSDT,HBAR,1,1e-05,1.0,1.0
HEIUSDT,HEIUSDT,HEI,1,1e-05,0.1,0.1
HEMIUSDT,HEMIUSDT,HEMI,1,1e-06,1.0,1.0
HFTUSDT,HFTUSDT,HFT,1,1e-05,1.0,1.0
HIGHUSDT,HIGHUSDT,HIGH,1,0.0001,0.1,0.1
HIPPOUSDT,HIPPOUSDT,HIPPO,1,1e-07,10.0,10.0
HIVEUSDT,HIVEUSDT,HIVE,1,1e-05,1.0,1.0
HMSTRUSDT,HMSTRUSDT,HMSTR,1,1e-07,10.0,10.0
HOLOUSDT,HOLOUSDT,HOLO,1,1e-05,1.0,1.0
HOMEUSDT,HOMEUSDT,HOME,1,1e-05,10.0,10.0
HOOKUSDT,HOOKUSDT,HOOK,1,1e-05,0.1,0.1
HUMAUSDT,HUMAUSDT,HUMA,1,1e-05,1.0,1.0
HUSDT,HUSDT,H,1,1e-05,10.0,10.0
HYPERUSDT,HYPERUSDT,HYPER,1,1e-05,1.0,1.0
HYPEUSDT,HYPEUSDT,HYPE,1,0.001,0.01,0.01
ICNTUSDT,ICNTUSDT,ICNT,1,0.0001,1.0,1.0
ICPUSDT,ICPUSDT,ICP,1,0.001,0.1,0.1
ICXUSDT,ICXUSDT,ICX,1,1e-05,1.0,1.0
IDUSDT,IDUSDT,ID,1,1e-05,1.0,1.0
ILVUSDT,ILVUSDT,ILV,1,0.001,0.01,0.01
IMXUSDT,IMXUSDT,IMX,1,0.0001,0.1,0.1
INITUSDT,INITUSDT,INIT,1,1e-05,1.0,1.0
INJUSDT,INJUSDT,INJ,1,0.001,0.1,0.1
INUSDT,INUSDT,IN,1,1e-05,10.0,10.0
IOSTUSDT,IOSTUSDT,IOST,1,1e-06,1.0,1.0
IOTAUSDT,IOTAUSDT,IOTA,1,1e-05,0.1,0.1
IOTXUSDT,IOTXUSDT,IOTX,1,1e-06,1.0,1.0
IOUSDT,IOUSDT,IO,1,1e-05,0.1,0.1
IPUSDT,IPUSDT,IP,1,0.0001,0.1,0.1
JASMYUSDT,JASMYUSDT,JASMY,1,1e-06,1.0,1.0
JCTUSDT,JCTUSDT,JCT,1,1e-06,100.0,100.0
JELLYJELLYUSDT,JELLYJELLYUSDT,JELLYJELLY,1,1e-06,1.0,1.0
JSTUSDT,JSTUSDT,JST,1,1e-05,10.0,10.0
JTOUSDT,JTOUSDT,JTO,1,0.0001,0.1,0.1
JUPUSDT,JUPUSDT,JUP,1,0.0001,1.0,1.0
KAIAUSDT,KAIAUSDT,KAIA,1,1e-05,1.0,1.0
KAITOUSDT,KAITOUSDT,KAITO,1,0.0001,1.0,1.0
KASUSDT,KASUSDT,KAS,1,1e-05,10.0,10.0
KAVAUSDT,KAVAUSDT,KAVA,1,1e-05,0.1,0.1
KERNELUSDT,KERNELUSDT,KERNEL,1,1e-05,1.0,1.0
KGENUSDT,KGENUSDT,KGEN,1,0.0001,1.0,1.0
KITEUSDT,KITEUSDT,KITE,1,1e-05,1.0,1.0
KMNOUSDT,KMNOUSDT,KMNO,1,1e-05,10.0,10.0
KNCUSDT,KNCUSDT,KNC,1,0.0001,0.1,0.1
KSMUSDT,KSMUSDT,KSM,1,0.001,0.01,0.01
LABUSDT,LABUSDT,LAB,1,1e-05,1.0,1.0
LAUSDT,LAUSDT,LA,1,0.0001,0.1,0.1
LDOUSDT,LDOUSDT,LDO,1,0.0001,0.1,0.1
LIGHTUSDT,LIGHTUSDT,LIGHT,1,0.0001,1.0,1.0
LINEAUSDT,LINEAUSDT,LINEA,1,1e-06,10.0,10.0
LINKUSDT,LINKUSDT,LINK,1,0.001,0.1,0.1
LISTAUSDT,LISTAUSDT,LISTA,1,0.0001,1.0,1.0
LPTUSDT,LPTUSDT,LPT,1,0.001,0.1,0.1
LQTYUSDT,LQTYUSDT,LQTY,1,0.0001,0.1,0.1
LRCUSDT,LRCUSDT,LRC,1,1e-05,0.1,0.1
LSKUSDT,LSKUSDT,LSK,1,0.0001,0.1,0.1
LTCUSDT,LTCUSDT,LTC,1,0.01,0.1,0.1
LUMIAUSDT,LUMIAUSDT,LUMIA,1,1e-05,0.1,0.1
LUNA2USDT,LUNA2USDT,LUNA2,1,1e-05,0.1,0.1
LYNUSDT,LYNUSDT,LYN,1,1e-05,1.0,1.0
MAGICUSDT,MAGICUSDT,MAGIC,1,1e-05,1.0,1.0
MANAUSDT,MANAUSDT,MANA,1,1e-05,0.1,0.1
MANTAUSDT,MANTAUSDT,MANTA,1,1e-05,0.1,0.1
MASKUSDT,MASKUSDT,MASK,1,0.0001,0.1,0.1
MAVIAUSDT,MAVIAUSDT,MAVIA,1,1e-05,0.1,0.1
MAVUSDT,MAVUSDT,MAV,1,1e-05,1.0,1.0
MBOXUSDT,MBOXUSDT,MBOX,1,1e-05,1.0,1.0
MELANIAUSDT,MELANIAUSDT,MELANIA,1,1e-05,0.1,0.1
MEMEUSDT,MEMEUSDT,MEME,1,1e-07,10.0,10.0
MERLUSDT,MERLUSDT,MERL,1,1e-05,0.1,0.1
METISUSDT,METISUSDT,METIS,1,0.001,0.01,0.01
METUSDT,METUSDT,MET,1,0.0001,0.1,0.1
MEUSDT,MEUSDT,ME,1,0.0001,1.0,1.0
MEWUSDT,MEWUSDT,MEW,1,1e-07,100.0,100.0
MINAUSDT,MINAUSDT,MINA,1,1e-05,0.1,0.1
MIRAUSDT,MIRAUSDT,MIRA,1,1e-05,0.1,0.1
MITOUSDT,MITOUSDT,MITO,1,1e-05,1.0,1.0
MLNUSDT,MLNUSDT,MLN,1,0.001,0.1,0.1
MMTUSDT,MMTUSDT,MMT,1,0.0001,1.0,1.0
MOCAUSDT,MOCAUSDT,MOCA,1,1e-05,1.0,1.0
MOODENGUSDT,MOODENGUSDT,MOODENG,1,1e-05,1.0,1.0
MORPHOUSDT,MORPHOUSDT,MORPHO,1,0.0001,1.0,1.0
MOVEUSDT,MOVEUSDT,MOVE,1,1e-05,1.0,1.0
MOVRUSDT,MOVRUSDT,MOVR,1,0.001,0.1,0.1
MTLUSDT,MTLUSDT,MTL,1,0.0001,0.1,0.1
MUBARAKUSDT,MUBARAKUSDT,MUBARAK,1,1e-05,1.0,1.0
MUSDT,MUSDT,M,1,0.0001,1.0,1.0
MYXUSDT,MYXUSDT,MYX,1,0.0001,1.0,1.0
NAORISUSDT,NAORISUSDT,NAORIS,1,1e-05,10.0,10.0
NEARUSDT,NEARUSDT,NEAR,1,0.0001,0.1,0.1
NEOUSDT,NEOUSDT,NEO,1,0.001,0.01,0.01
NEWTUSDT,NEWTUSDT,NEWT,1,1e-05,1.0,1.0
NFPUSDT,NFPUSDT,NFP,1,1e-05,0.1,0.1
NILUSDT,NILUSDT,NIL,1,1e-05,1.0,1.0
NKNUSDT,NKNUSDT,NKN,1,1e-06,1.0,1.0
NMRUSDT,NMRUSDT,NMR,1,0.001,0.1,0.1
NOMUSDT,NOMUSDT,NOM,1,1e-06,10.0,10.0
NOTUSDT,NOTUSDT,NOT,1,1e-07,10.0,10.0
NTRNUSDT,NTRNUSDT,NTRN,1,1e-05,1.0,1.0
NXPCUSDT,NXPCUSDT,NXPC,1,0.0001,0.1,0.1
OGNUSDT,OGNUSDT,OGN,1,1e-05,1.0,1.0
OGUSDT,OGUSDT,OG,1,0.001,0.1,0.1
OLUSDT,OLUSDT,OL,1,1e-05,1.0,1.0
ONDOUSDT,ONDOUSDT,ONDO,1,0.0001,1.0,1.0
ONEUSDT,ONEUSDT,ONE,1,1e-06,1.0,1.0
ONGUSDT,ONGUSDT,ONG,1,1e-05,1.0,1.0
ONTUSDT,ONTUSDT,ONT,1,1e-05,1.0,1.0
OPENUSDT,OPENUSDT,OPEN,1,0.0001,1.0,1.0
OPUSDT,OPUSDT,OP,1,0.0001,0.1,0.1
ORCAUSDT,ORCAUSDT,ORCA,1,0.0001,0.1,0.1
ORDERUSDT,ORDERUSDT,ORDER,1,1e-05,1.0,1.0
ORDIUSDT,ORDIUSDT,ORDI,1,0.001,0.01,0.01
OXTUSDT,OXTUSDT,OXT,1,1e-05,10.0,10.0
PARTIUSDT,PARTIUSDT,PARTI,1,1e-05,1.0,1.0
PAXGUSDT,PAXGUSDT,PAXG,1,0.1,0.001,0.001
PENDLEUSDT,PENDLEUSDT,PENDLE,1,0.0001,1.0,1.0
PENGUUSDT,PENGUUSDT,PENGU,1,1e-06,10.0,10.0
PEOPLEUSDT,PEOPLEUSDT,PEOPLE,1,1e-06,1.0,1.0
PHAUSDT,PHAUSDT,PHA,1,1e-05,1.0,1.0
PHBUSDT,PHBUSDT,PHB,1,0.0001,1.0,1.0
PIEVERSEUSDT,PIEVERSEUSDT,PIEVERSE,1,0.0001,1.0,1.0
PIPPINUSDT,PIPPINUSDT,PIPPIN,1,1e-05,1.0,1.0
PIXELUSDT,PIXELUSDT,PIXEL,1,1e-06,1.0,1.0
PLUMEUSDT,PLUMEUSDT,PLUME,1,1e-05,1.0,1.0
PNUTUSDT,PNUTUSDT,PNUT,1,1e-05,1.0,1.0
POLUSDT,POLUSDT,POL,1,1e-05,1.0,1.0
POLYXUSDT,POLYXUSDT,POLYX,1,1e-05,1.0,1.0
PONKEUSDT,PONKEUSDT,PONKE,1,1e-05,1.0,1.0
POPCATUSDT,POPCATUSDT,POPCAT,1,1e-05,1.0,1.0
PORTALUSDT,PORTALUSDT,PORTAL,1,1e-05,0.1,0.1
POWRUSDT,POWRUSDT,POWR,1,1e-05,1.0,1.0
PROMPTUSDT,PROMPTUSDT,PROMPT,1,1e-05,1.0,1.0
PROMUSDT,PROMUSDT,PROM,1,0.001,0.1,0.1
PROVEUSDT,PROVEUSDT,PROVE,1,0.0001,1.0,1.0
PTBUSDT,PTBUSDT,PTB,1,1e-06,10.0,10.0
PUFFERUSDT,PUFFERUSDT,PUFFER,1,1e-05,1.0,1.0
PUMPFUNUSDT, PUMPUSDT, PUMP,1,1e-06,100.0,100.0
PUMPBTCUSDT,PUMPBTCUSDT,PUMPBTC,1,1e-05,10.0,10.0
PUNDIXUSDT,PUNDIXUSDT,PUNDIX,1,0.0001,1.0,1.0
PYTHUSDT,PYTHUSDT,PYTH,1,1e-05,1.0,1.0
QNTUSDT,QNTUSDT,QNT,1,0.01,0.01,0.01
QTUMUSDT,QTUMUSDT,QTUM,1,0.0001,0.1,0.1
QUSDT,QUSDT,Q,1,1e-06,10.0,10.0
RAREUSDT,RAREUSDT,RARE,1,1e-05,1.0,1.0
RAYDIUMUSDT, RAYSOLUSDT, RAYDIUM,1,0.0001,0.1,0.1
RDNTUSDT,RDNTUSDT,RDNT,1,1e-06,1.0,1.0
RECALLUSDT,RECALLUSDT,RECALL,1,1e-05,1.0,1.0
REDUSDT,REDUSDT,RED,1,0.0001,1.0,1.0
RENDERUSDT,RENDERUSDT,RENDER,1,0.0001,0.1,0.1
RESOLVUSDT,RESOLVUSDT,RESOLV,1,1e-05,1.0,1.0
REZUSDT,REZUSDT,REZ,1,1e-06,1.0,1.0
RIVERUSDT,RIVERUSDT,RIVER,1,0.001,0.1,0.1
RLCUSDT,RLCUSDT,RLC,1,0.0001,0.1,0.1
RONINUSDT,RONINUSDT,RONIN,1,1e-05,0.1,0.1
ROSEUSDT,ROSEUSDT,ROSE,1,1e-06,1.0,1.0
RPLUSDT,RPLUSDT,RPL,1,0.001,0.01,0.01
RSRUSDT,RSRUSDT,RSR,1,1e-06,10.0,10.0
RUNEUSDT,RUNEUSDT,RUNE,1,0.0001,0.1,0.1
RVNUSDT,RVNUSDT,RVN,1,1e-06,1.0,1.0
SAFEUSDT,SAFEUSDT,SAFE,1,1e-05,0.1,0.1
SAGAUSDT,SAGAUSDT,SAGA,1,1e-05,0.1,0.1
SAHARAUSDT,SAHARAUSDT,SAHARA,1,1e-05,1.0,1.0
SANDUSDT,SANDUSDT,SAND,1,1e-05,1.0,1.0
SAPIENUSDT,SAPIENUSDT,SAPIEN,1,1e-05,1.0,1.0
SCRTUSDT,SCRTUSDT,SCRT,1,1e-05,0.1,0.1
SCRUSDT,SCRUSDT,SCR,1,1e-05,0.1,0.1
SCUSDT,SCUSDT,SC,1,1e-07,10.0,10.0
SEIUSDT,SEIUSDT,SEI,1,1e-05,1.0,1.0
SENTUSDT,SENTUSDT,SENT,1,1e-05,10.0,10.0
SFPUSDT,SFPUSDT,SFP,1,0.0001,0.1,0.1
SHELLUSDT,SHELLUSDT,SHELL,1,1e-05,1.0,1.0
SIGNUSDT,SIGNUSDT,SIGN,1,1e-05,10.0,10.0
SIRENUSDT,SIRENUSDT,SIREN,1,1e-05,1.0,1.0
SKLUSDT,SKLUSDT,SKL,1,1e-06,1.0,1.0
SKYAIUSDT,SKYAIUSDT,SKYAI,1,1e-05,10.0,10.0
SKYUSDT,SKYUSDT,SKY,1,1e-05,10.0,10.0
SLPUSDT,SLPUSDT,SLP,1,1e-07,10.0,10.0
SNXUSDT,SNXUSDT,SNX,1,0.0001,0.1,0.1
SOLUSDT,SOLUSDT,SOL,1,0.01,0.1,0.1
SOLVUSDT,SOLVUSDT,SOLV,1,1e-06,1.0,1.0
SOMIUSDT,SOMIUSDT,SOMI,1,0.0001,0.1,0.1
SONICUSDT,SONICUSDT,SONIC,1,1e-05,1.0,1.0
SOONUSDT,SOONUSDT,SOON,1,0.0001,1.0,1.0
SOPHUSDT,SOPHUSDT,SOPH,1,1e-06,10.0,10.0
SPELLUSDT,SPELLUSDT,SPELL,1,1e-07,10.0,10.0
SPKUSDT,SPKUSDT,SPK,1,1e-05,10.0,10.0
SPXUSDT,SPXUSDT,SPX,1,0.0001,1.0,1.0
